"","MEblack","MEblue","MEbrown","MEcyan","MEgreen","MEgreenyellow","MEgrey60","MElightcyan","MElightgreen","MEmagenta","MEmidnightblue","MEpink","MEpurple","MEred","MEsalmon","MEtan","MEturquoise","MEyellow"
"J2_14SN1_3",-0.0626164778098925,-0.126852988986351,0.143210422844278,-0.0533290590777611,0.0866121233822599,-0.0801048436734473,0.00457205115600309,-0.0368408039075989,-0.0176378905320568,-0.0796990570207609,0.291170843664442,-0.0555252779857034,-0.0439485002836932,-0.0737668004530134,-0.0274764619396318,-0.169274639343224,0.0266793933793108,0.0703518159457526
"J2_14SN1_4",0.187842148499544,0.165868097639273,-0.0433012420010394,-0.0265383394886203,-0.190196258475523,-0.196456362325686,-0.0399903756109737,-0.0319436021307349,-0.0116665847388677,-0.0644098267143155,-0.0484986486226468,-0.0180402799346747,-0.017217490483532,-0.0627808544575344,-0.0524610548868098,-0.0147902651944818,0.0905716819191601,-0.0953699156570482
"J2_14SN2_1",0.24125528857603,0.0386853061122969,-0.125021973761021,-0.0568818010602373,0.00995015097177626,0.221927155662127,-0.0297295366740148,-0.0760830809338533,-0.0616609727940301,-0.0339997514623724,-0.0932534302329997,0.204119128267985,-0.0726720440100058,-0.101965553750402,-0.0955705094538111,0.263931369019943,-0.156349396958183,-0.120785999001548
"J2_14SN2_2",0.272251029582871,0.209468764974099,-0.226947691550362,-0.0244208184648315,-0.103889167519848,0.151467620840614,-0.0531581291269811,-0.0554186814792731,-0.0559273417847319,-0.0158081997428999,-0.0559520102859112,-0.0469663170756627,-0.0348478036480042,-0.0732850235624302,-0.0832194976642413,0.366835542093601,-0.14222819039805,-0.0951248632888344
"J2_14SN2_3",-0.0488486842783924,-0.017548370009125,-0.0290789304521951,-0.0447585942163608,0.0395320926764512,0.0734307438871806,-0.0369876334633536,-0.0274535931393042,0.653920578396936,-0.0478233702441314,-0.0367009391390034,-0.0674774875416403,0.341120907868466,-0.0530185479634481,-0.0471152009560513,0.0461211584740278,-0.0795283167131861,0.0244379018707515
"J2_14SN2_4",0.242995927252594,-0.0707641270476339,-0.0229482846218044,-0.0365101517376389,0.116429330085077,0.159321518416119,-0.0458643118338358,-0.0564692505276971,-0.0274271042177201,-0.0259105998297263,-0.0338438251680987,-0.0470015552813855,0.284365869214782,-0.0699875294504781,-0.0784974151663248,0.139086845927231,-0.108874336367498,-0.0592689838116061
"J2_14SN3_1",-0.0464049192377394,0.265309920654866,-0.136271604956914,-0.00672383353234425,-0.230199310362318,-0.165555461642903,-0.0353224100343372,-0.0349278531749785,-0.0129098296339706,-0.0566835526598959,-0.0427550085989238,-0.0303092384684224,-0.0309557066323416,-0.0465061350637982,-0.0394774924188966,0.0232592375609071,0.0547481751412551,0.0248622567377224
"J2_14SN3_2",-0.0464719280187376,-0.00543131489379378,0.0687190588577511,-0.0399290319787561,-0.0506698737537128,-0.112587676856627,0.24145438371041,-0.0421802372295465,-0.0446188530190203,-0.0470018082557617,-0.0387841070772006,0.310745760253589,-0.064230264071116,-0.064664324060811,-0.0548588424834083,-0.0842789755211286,0.0283356590551478,-0.000561024165710388
"J2_14SN3_3",-0.0722034558431126,0.00816818025637597,-0.0926179538953998,-0.0518508357193532,0.0631735425767542,0.161804007803926,0.173709852087058,-0.0541239214491216,-0.0490909818624156,-0.0374927058602412,-0.0613512295218213,0.344109630191479,-0.0876069891628752,-0.0830716511428269,-0.0777137833593197,0.149729141688313,-0.147078616189493,-0.245139869374735
"J2_14SN3_4",-0.0548620488716846,-0.100076778415641,0.122040974394042,-0.0365078254889268,0.107913643077564,-0.0294986353899134,-0.0447770367878557,-0.0573584906488564,-0.0315633725971755,-0.051093556854252,-0.0562932942888283,-0.0644489140338509,-0.0389804784692804,-0.0507495786638262,-0.0581502188705429,-0.105584665632994,-0.0502551335899398,-0.0635319997610817
"J2_14SR1_1",-0.0742261821395112,-0.138947844418176,0.20319998132998,-0.0596256383764592,0.16241156055248,-0.0399485144889377,-0.0195856278653746,-0.0469506351290489,-0.0369610380002181,0.248432647883441,-0.0623047994894454,-0.0539105381717169,-0.0400949678346015,0.137204858623549,-0.0223790779180181,-0.125254335378542,-0.00258522977618947,-0.169411896822413
"J2_14SR1_2",-0.0758823929695047,-0.15370788426862,0.141984326728441,-0.059230774688621,0.190783073666479,0.133600866943261,0.0158311130963934,-0.0453142598696326,-0.055090264973145,0.456166647280065,-0.0677706686693046,-0.0678451145373046,-0.055839999893204,-0.0734761883996475,0.320000196581746,-0.013267255853434,-0.10339687204312,-0.264574996238082
"J2_14SR1_3",0.293302730280857,-0.098073573604992,0.0884864734649504,-0.0419502742384039,0.157482842681425,0.0886800696544416,-0.0293495367761986,-0.068310817656786,-0.0308154933319858,-0.0373861605363881,-0.0712559312696252,0.270377353564129,-0.0626810908715357,-0.0917429285934058,-0.0655655407504646,0.0296945498127539,-0.113013123511446,-0.113762883644305
"J2_14SR1_4",-0.0709672036705733,-0.150841357156114,0.0546828918519824,-0.0578181577883189,0.195797471388287,0.22924668675854,0.849641139988133,-0.0655293467884417,-0.0270749417925534,-0.0414746957374756,0.358365673497563,-0.0381717001849783,-0.0672647784442995,-0.063521808155715,-0.0550914413626054,0.073981551149977,-0.150313930628536,-0.240408968065139
"J2_14SR2_1",0.269474998129321,-0.133393370714535,0.157563443995728,-0.00815978111820282,0.181175950621437,0.0330169874823684,0.00110201265270701,-0.0329888135630489,-0.00990433755293645,-0.0119169063977195,-0.0256061475788772,0.000498919402897823,-0.0176063431232504,-0.0515297034462138,0.0703869184683295,-0.0222888849265444,-0.0607805716579012,-0.0374881073582895
