GeneID	Annotation_GO_ID
LOC111099657	GO:0005737;GO:0005975;GO:0006091;GO:0006520;GO:0006790;GO:0009056;GO:0009058;GO:0016491;GO:0032991;GO:0034641;GO:0043226;GO:0051186
LOC111099659	GO:0003674
LOC111099659	GO:0003674
LOC111099659	GO:0003674
LOC111099663	unknown
LOC111099663	unknown
LOC111099663	unknown
LOC111099663	unknown
LOC111099663	unknown
LOC111099663	unknown
LOC111099663	unknown
LOC111099663	unknown
LOC111099663	unknown
LOC111099663	unknown
LOC111099664	GO:0005635;GO:0032991
LOC111099666	GO:0043167
LOC111099668	GO:0003674;GO:0005575;GO:0007165
LOC111099668	GO:0003674;GO:0005575;GO:0007165
LOC111099669	GO:0003674;GO:0005575;GO:0007165
LOC111099670	unknown
LOC111099671	unknown
LOC111099676	unknown
LOC111099677	unknown
LOC111099679	unknown
LOC111099680	unknown
LOC111099681	unknown
LOC111099683	unknown
LOC111099683	unknown
LOC111099687	GO:0016491;GO:0043167
LOC111099690	GO:0009058;GO:0016491;GO:0034641;GO:0044281
LOC111099692	GO:0003674
LOC111099692	GO:0003674
LOC111099692	GO:0003674
LOC111099692	GO:0003674
LOC111099692	GO:0003674
LOC111099692	GO:0003674
LOC111099692	GO:0003674
LOC111099692	GO:0003674
LOC111099692	GO:0003674
LOC111099692	GO:0003674
LOC111099692	GO:0003674
LOC111099693	GO:0005654;GO:0006464;GO:0008168;GO:0032991
LOC111099694	GO:0003677;GO:0006259
LOC111099697	GO:0005856;GO:0008092;GO:0032991
LOC111099702	GO:0043167
LOC111099703	unknown
LOC111099706	unknown
LOC111099708	GO:0003674
LOC111099712	unknown
LOC111099713	GO:0008233;GO:0051604
LOC111099715	GO:0005975;GO:0016798
LOC111099717	GO:0008233;GO:0031012;GO:0043167
LOC111099718	GO:0005975;GO:0016798
LOC111099721	GO:0002376;GO:0003674;GO:0006950;GO:0007165
LOC111099721	GO:0002376;GO:0003674;GO:0006950;GO:0007165
LOC111099721	GO:0002376;GO:0003674;GO:0006950;GO:0007165
LOC111099721	GO:0002376;GO:0003674;GO:0006950;GO:0007165
LOC111099721	GO:0002376;GO:0003674;GO:0006950;GO:0007165
LOC111099721	GO:0002376;GO:0003674;GO:0006950;GO:0007165
LOC111099721	GO:0002376;GO:0003674;GO:0006950;GO:0007165
LOC111099722	GO:0003674;GO:0005575
LOC111099722	GO:0003674;GO:0005575
LOC111099723	GO:0003674
LOC111099724	GO:0006464;GO:0008168
LOC111099726	unknown
LOC111099726	unknown
LOC111099726	unknown
LOC111099728	unknown
LOC111099730	unknown
LOC111099730	unknown
LOC111099730	unknown
LOC111099731	GO:0006464;GO:0009056;GO:0030234
LOC111099732	unknown
LOC111099733	unknown
LOC111099734	unknown
LOC111099734	unknown
LOC111099734	unknown
LOC111099736	GO:0006464;GO:0016301;GO:0043167
LOC111099737	GO:0006950;GO:0016491
LOC111099737	GO:0006950;GO:0016491
LOC111099737	GO:0006950;GO:0016491
LOC111099737	GO:0006950;GO:0016491
LOC111099737	GO:0006950;GO:0016491
LOC111099737	GO:0006950;GO:0016491
LOC111099738	GO:0003674;GO:0005575;GO:0007165
LOC111099739	unknown
LOC111099740	GO:0005575;GO:0006464;GO:0009058;GO:0016757
LOC111099741	GO:0000278;GO:0005634;GO:0006464;GO:0019899
LOC111099745	unknown
LOC111099746	GO:0005575;GO:0016887;GO:0022857;GO:0043167
LOC111099746	GO:0005575;GO:0016887;GO:0022857;GO:0043167
LOC111099746	GO:0005575;GO:0016887;GO:0022857;GO:0043167
LOC111099746	GO:0005575;GO:0016887;GO:0022857;GO:0043167
LOC111099746	GO:0005575;GO:0016887;GO:0022857;GO:0043167
LOC111099746	GO:0005575;GO:0016887;GO:0022857;GO:0043167
LOC111099747	GO:0003677;GO:0009058;GO:0034641
LOC111099747	GO:0003677;GO:0009058;GO:0034641
LOC111099747	GO:0003677;GO:0009058;GO:0034641
LOC111099747	GO:0003677;GO:0009058;GO:0034641
